Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
BMW,BMW M3,8_30,1583.0,561.0,855.0,952.0,777.0,581.0,238.0,630.0,746.0,721.0,623.0,659.0,1111.0,444.0,299.0,892.0,1305.0,1866.0,1188.0,309.0
BMW,BMW M4,8_31,1141.0,1798.0,2123.0,1925.0,1709.0,1940.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW M5,8_32,393.0,611.0,140.0,22.0,404.0,381.0,490.0,571.0,374.0,82.0,11.0,19.0,82.0,225.0,265.0,282.0,1.0,37.0,153.0,233.0
BMW,BMW M6,8_33,0.0,0.0,57.0,135.0,200.0,203.0,203.0,118.0,47.0,1.0,5.0,14.0,22.0,52.0,100.0,133.0,0.0,0.0,0.0,0.0
BMW,BMW X1,8_35,7396.0,13529.0,14626.0,13353.0,12247.0,4568.0,7873.0,7261.0,5601.0,6291.0,5212.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BMW,BMW X2,8_36,3420.0,6918.0,4880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW X3,8_37,7438.0,15773.0,8197.0,7931.0,8903.0,7001.0,6148.0,7296.0,7104.0,4370.0,1035.0,1663.0,2099.0,3331.0,4792.0,4145.0,3617.0,2.0,0.0,0.0
BMW,BMW X4,8_38,1830.0,3998.0,2064.0,2136.0,2690.0,2052.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW X5,8_39,5345.0,9055.0,7443.0,6345.0,6734.0,7306.0,5622.0,3543.0,4311.0,4405.0,4168.0,4381.0,3917.0,4410.0,4328.0,7064.0,4392.0,3655.0,2309.0,1212.0
BMW,BMW X6,8_41,1077.0,643.0,2114.0,1338.0,1794.0,1282.0,1404.0,1236.0,1159.0,809.0,816.0,1008.0,502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
